bird	x	y	z	t	
1, 1.1, 2.1, 3.1, 10.0, 1.2, 0.2
1, 1.2, 2.2, 3.2, 20.0, 1.2, 0.2
1, 1.3, 2.3, 3.3, 30.0, 1.2, 0.2
1, 1.4, 2.4, 3.4, 40.0, 1.2, 0.2
2, 4.1, 5.1, 6.1, 11.0, 1.2, 0.2
2, 4.2, 5.2, 6.2, 21.0, 1.2, 0.2
2, 4.3, 5.3, 6.3, 31.0, 1.2, 0.2
3, 7.1, 8.1, 9.1, 12.0, 1.2, 0.2
3, 7.2, 8.2, 9.2, 22.0, 1.2, 0.2
2, 4.1, 5.1, 6.1, 11.0, 1.2, 0.2
3, 7.3, 8.3, 9.3, 32.0, 1.2, 0.2
3, 7.4, 8.4, 9.4, 42.0, 1.2, 0.2
2, 4.1, 5.1, 6.1, 11.0, 1.2, 0.2
3, 7.5, 8.5, 9.5, 52.0, 1.2, 0.2
1, 1.2, 2.1, 3.1, 10.0, 1.2, 0.2
2, 4.1, 5.1, 6.1, 11.0, 1.2, 0.2
2, 4.1, 5.1, 6.1, 11.0, 1.2, 0.2
2, 4.1, 5.1, 6.1, 11.0, 1.2, 0.2
